,Name,2020 Count,2019 Count,2018 Count,2017 Count,2016 Count,2015 Count,2014 Count,2013 Count,2012 Count,2011 Count,2010 Count,2009 Count,2008 Count,2007 Count,2006 Count,2005 Count,2004 Count,2003 Count,2002 Count,2001 Count,2000 Count
12086,RAAFI,5.0,0.0,6.0,3.0,0.0,4.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,:
12088,RAAHIL,0.0,0.0,3.0,4.0,4.0,0.0,4.0,7.0,6.0,5.0,11.0,5.0,4.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,:
12089,RAAHIM,0.0,3.0,0.0,6.0,3.0,9.0,0.0,7.0,0.0,0.0,4.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,:
12093,RAAJAN,0.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,3.0,5.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,:
12106,RADEK,0.0,3.0,0.0,3.0,3.0,0.0,0.0,5.0,0.0,3.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,:
12108,RADIN,6.0,6.0,6.0,6.0,6.0,9.0,8.0,7.0,7.0,3.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,:
12109,RADLEY,8.0,10.0,11.0,15.0,8.0,9.0,16.0,7.0,9.0,6.0,10.0,5.0,7.0,5.0,9.0,5.0,6.0,0.0,0.0,0.0,:
12112,RADOSLAV,4.0,6.0,8.0,0.0,0.0,4.0,3.0,7.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,:
12113,RADOSLAW,0.0,5.0,6.0,3.0,6.0,4.0,0.0,7.0,5.0,4.0,5.0,7.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,:
12114,RADU,10.0,19.0,14.0,12.0,13.0,8.0,4.0,4.0,3.0,4.0,5.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,:
12115,RADVIN,0.0,0.0,10.0,5.0,5.0,3.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,:
12116,RADWAN,4.0,4.0,0.0,0.0,5.0,6.0,0.0,0.0,6.0,3.0,6.0,4.0,8.0,9.0,4.0,8.0,8.0,4.0,6.0,3.0,3
12117,RAE,4.0,0.0,4.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,3.0,:
12118,RAED,9.0,6.0,8.0,8.0,8.0,4.0,5.0,6.0,7.0,0.0,0.0,3.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,:
12120,RAEEF,0.0,0.0,4.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,:
12121,RAEES,45.0,59.0,49.0,56.0,49.0,30.0,27.0,30.0,34.0,30.0,34.0,30.0,28.0,43.0,28.0,46.0,47.0,33.0,31.0,27.0,25
12123,RAEF,13.0,13.0,18.0,16.0,19.0,8.0,11.0,11.0,11.0,8.0,10.0,12.0,10.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,:
12125,RAEGAN,0.0,0.0,4.0,3.0,5.0,3.0,0.0,0.0,7.0,6.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,:
12128,RAEKWON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,6.0,10.0,9.0,8.0,4.0,4
12134,RAFA,11.0,12.0,6.0,4.0,5.0,7.0,3.0,5.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,:
12136,RAFAEL,276.0,251.0,265.0,225.0,229.0,197.0,175.0,189.0,183.0,160.0,180.0,180.0,147.0,124.0,90.0,71.0,49.0,39.0,34.0,24.0,21
12139,RAFAL,4.0,6.0,8.0,9.0,7.0,8.0,9.0,10.0,9.0,11.0,11.0,21.0,17.0,11.0,6.0,4.0,0.0,0.0,0.0,0.0,:
12140,RAFAN,3.0,7.0,4.0,3.0,4.0,7.0,3.0,4.0,8.0,6.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,:
12142,RAFAY,10.0,13.0,13.0,14.0,14.0,12.0,12.0,12.0,18.0,9.0,12.0,16.0,9.0,9.0,4.0,4.0,4.0,4.0,0.0,4.0,:
12143,RAFE,175.0,118.0,140.0,160.0,165.0,174.0,112.0,121.0,79.0,59.0,58.0,50.0,43.0,39.0,44.0,25.0,36.0,35.0,24.0,14.0,14
12144,RAFEE,0.0,3.0,3.0,0.0,0.0,3.0,3.0,4.0,0.0,0.0,0.0,3.0,5.0,6.0,0.0,0.0,5.0,3.0,0.0,0.0,:
12148,RAFF,4.0,4.0,3.0,0.0,0.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,:
12149,RAFFAEL,11.0,10.0,9.0,7.0,6.0,5.0,7.0,5.0,6.0,4.0,3.0,3.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,:
12150,RAFFAELE,11.0,15.0,19.0,21.0,13.0,15.0,6.0,14.0,12.0,9.0,6.0,9.0,10.0,11.0,0.0,3.0,0.0,4.0,0.0,3.0,4
12153,RAFFERTY,184.0,173.0,183.0,187.0,181.0,164.0,114.0,108.0,131.0,106.0,96.0,58.0,67.0,46.0,43.0,34.0,34.0,22.0,13.0,10.0,4
12155,RAFFI,21.0,16.0,17.0,17.0,9.0,6.0,5.0,3.0,13.0,7.0,9.0,3.0,8.0,10.0,5.0,5.0,0.0,3.0,0.0,0.0,:
12157,RAFFY,10.0,4.0,8.0,6.0,3.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,:
12158,RAFI,41.0,39.0,44.0,32.0,28.0,33.0,34.0,21.0,31.0,24.0,17.0,31.0,38.0,24.0,12.0,14.0,17.0,9.0,8.0,9.0,8
12160,RAFIK,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,:
12161,RAFIQ,6.0,0.0,0.0,0.0,3.0,0.0,4.0,5.0,5.0,8.0,5.0,0.0,3.0,0.0,5.0,5.0,3.0,3.0,3.0,0.0,:
12163,RAFSAN,3.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,:
12164,RAGHAV,0.0,6.0,7.0,3.0,14.0,15.0,10.0,9.0,11.0,6.0,16.0,17.0,6.0,14.0,13.0,6.0,10.0,3.0,0.0,3.0,3
12166,RAGNAR,18.0,20.0,13.0,10.0,11.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,:
12172,RAHAND,0.0,6.0,6.0,0.0,7.0,5.0,9.0,4.0,4.0,10.0,11.0,5.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,:
12173,RAHAT,0.0,0.0,4.0,4.0,5.0,3.0,3.0,7.0,8.0,13.0,0.0,11.0,6.0,7.0,9.0,3.0,11.0,13.0,5.0,14.0,6
12176,RAHEEL,7.0,8.0,6.0,8.0,13.0,17.0,16.0,10.0,11.0,19.0,22.0,13.0,13.0,15.0,9.0,11.0,13.0,11.0,9.0,11.0,13
12177,RAHEEM,67.0,83.0,87.0,58.0,74.0,76.0,77.0,60.0,60.0,54.0,52.0,63.0,52.0,51.0,60.0,55.0,61.0,49.0,55.0,56.0,49
12178,RAHEES,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,5.0,4.0,4.0,3.0,3.0,4.0,:
12179,RAHEIM,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,7.0,3.0,5.0,0.0,4.0,4.0,5.0,8.0,10.0,6.0,4.0,3.0,:
12182,RAHIB,5.0,0.0,3.0,7.0,0.0,0.0,5.0,3.0,5.0,3.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,3.0,3.0,0.0,:
12184,RAHIEM,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,4.0,6.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,3.0,0.0,:
12185,RAHIL,3.0,5.0,7.0,13.0,7.0,8.0,9.0,9.0,4.0,8.0,12.0,10.0,12.0,5.0,8.0,11.0,12.0,5.0,11.0,14.0,9
12186,RAHIM,22.0,25.0,26.0,23.0,21.0,13.0,20.0,29.0,21.0,25.0,18.0,22.0,30.0,28.0,24.0,35.0,37.0,35.0,24.0,28.0,22
12189,RAHMAN,8.0,7.0,9.0,6.0,4.0,6.0,9.0,10.0,14.0,16.0,5.0,10.0,8.0,3.0,7.0,8.0,10.0,3.0,4.0,5.0,3
12194,RAHUL,6.0,8.0,9.0,10.0,10.0,20.0,20.0,16.0,27.0,31.0,50.0,41.0,38.0,55.0,61.0,70.0,80.0,91.0,79.0,94.0,81
12195,RAI,7.0,13.0,6.0,7.0,8.0,4.0,8.0,13.0,8.0,4.0,0.0,6.0,7.0,0.0,0.0,3.0,0.0,3.0,0.0,3.0,:
12197,RAID,0.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0,0.0,3.0,0.0,4.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,:
12198,RAIDEN,48.0,35.0,37.0,30.0,21.0,19.0,15.0,20.0,8.0,16.0,18.0,8.0,10.0,7.0,6.0,5.0,4.0,0.0,0.0,0.0,:
12199,RAIENS,0.0,0.0,3.0,0.0,0.0,5.0,0.0,6.0,6.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,:
12200,RAIF,23.0,21.0,27.0,14.0,15.0,14.0,11.0,24.0,18.0,18.0,10.0,8.0,14.0,11.0,12.0,6.0,6.0,4.0,4.0,4.0,3
12201,RAIFE,66.0,59.0,67.0,60.0,32.0,40.0,29.0,29.0,16.0,11.0,17.0,10.0,3.0,9.0,8.0,3.0,9.0,13.0,9.0,0.0,3
12204,RAIHAAN,0.0,0.0,3.0,4.0,0.0,4.0,0.0,6.0,9.0,6.0,5.0,11.0,13.0,5.0,6.0,6.0,7.0,8.0,5.0,0.0,:
12205,RAIHAN,12.0,10.0,19.0,20.0,28.0,23.0,32.0,42.0,50.0,53.0,63.0,56.0,60.0,50.0,31.0,30.0,31.0,27.0,17.0,10.0,9
12207,RAIN,7.0,10.0,6.0,7.0,4.0,3.0,3.0,0.0,3.0,0.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,:
12208,RAINE,3.0,4.0,6.0,7.0,3.0,0.0,0.0,0.0,8.0,0.0,0.0,3.0,5.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,:
12209,RAINER,3.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,:
12211,RAIS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,11.0,0.0,5.0,6.0,5.0,7.0,4.0,3.0,7.0,6.0,4
12212,RAITH,4.0,3.0,5.0,7.0,5.0,3.0,3.0,7.0,3.0,0.0,4.0,4.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,:
12215,RAIYAAN,8.0,3.0,0.0,3.0,3.0,3.0,5.0,4.0,5.0,5.0,5.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,:
12216,RAIYAN,14.0,17.0,14.0,11.0,20.0,9.0,13.0,12.0,14.0,15.0,17.0,12.0,13.0,9.0,7.0,11.0,7.0,8.0,3.0,0.0,:
12217,RAJ,3.0,6.0,0.0,3.0,5.0,8.0,10.0,5.0,6.0,12.0,6.0,6.0,11.0,8.0,8.0,14.0,8.0,10.0,12.0,9.0,8
12218,RAJA,34.0,42.0,41.0,28.0,38.0,42.0,47.0,33.0,40.0,60.0,51.0,49.0,48.0,57.0,59.0,58.0,52.0,53.0,56.0,52.0,58
12219,RAJAB,0.0,3.0,0.0,0.0,6.0,4.0,0.0,5.0,0.0,5.0,0.0,4.0,7.0,0.0,3.0,3.0,3.0,5.0,0.0,0.0,:
12221,RAJAN,9.0,5.0,17.0,18.0,18.0,21.0,20.0,19.0,27.0,28.0,28.0,30.0,36.0,29.0,28.0,41.0,48.0,50.0,38.0,42.0,51
