,Name,2020 Rank,2019 Rank,2018 Rank,2017 Rank,2016 Rank,2015 Rank,2014 Rank,2013 Rank,2012 Rank,2011 Rank,2010 Rank,2009 Rank,2008 Rank,2007 Rank,2006 Rank,2005 Rank,2004 Rank,2003 Rank,2002 Rank,2001 Rank,2000 Rank
13634,SEMIH,4813.0,4813.0,4813.0,4813.0,3478.0,4747.0,4813.0,4813.0,4813.0,3830.0,4813.0,2837.0,2507.0,4333.0,3385.0,4813.0,4813.0,2857.0,3225.0,4813.0,4813.0
13637,SENA,4813.0,4813.0,3959.0,4813.0,4813.0,4813.0,4813.0,4813.0,3987.0,4647.0,4813.0,4527.0,4432.0,4813.0,4052.0,3849.0,4813.0,4813.0,4813.0,4813.0,4813.0
13638,SENAN,1379.0,1869.0,1875.0,1339.0,1804.0,1902.0,1721.0,1404.0,1852.0,2613.0,2629.0,1981.0,2097.0,3095.0,2538.0,3849.0,3009.0,3467.0,4813.0,3134.0,1889.0
13639,SENAY,3334.0,4813.0,2445.0,4812.0,3478.0,3908.0,3895.0,4813.0,3416.0,4813.0,3865.0,4813.0,4813.0,3589.0,4813.0,4813.0,4813.0,4813.0,4813.0,4813.0,4813.0
13641,SENNA,4813.0,4813.0,3011.0,3449.0,4810.0,3373.0,2690.0,3315.0,1589.0,3830.0,3865.0,3744.0,3687.0,4813.0,4813.0,4813.0,4813.0,4813.0,4813.0,4813.0,2142.0
13643,SENNEN,3848.0,3411.0,3412.0,3449.0,3079.0,1902.0,2248.0,1920.0,3987.0,2892.0,2400.0,3227.0,2276.0,2023.0,3385.0,2418.0,2070.0,2857.0,2254.0,4813.0,4813.0
13653,SERAFIM,3334.0,2488.0,3412.0,4813.0,3079.0,3908.0,4813.0,4813.0,4813.0,4813.0,4813.0,4813.0,4432.0,4813.0,4813.0,4813.0,4813.0,4813.0,4813.0,4813.0,4813.0
13661,SEREN,4608.0,4813.0,4813.0,4813.0,4810.0,4813.0,4813.0,4685.0,4813.0,4813.0,4813.0,4813.0,4813.0,4813.0,4813.0,3849.0,4813.0,4813.0,3225.0,1949.0,4813.0
13662,SERGE,4813.0,3411.0,4813.0,3040.0,4023.0,4813.0,3895.0,3822.0,4805.0,3300.0,4678.0,3227.0,4813.0,3589.0,4052.0,3849.0,2304.0,4813.0,2636.0,3134.0,4813.0
13667,SERGIO,1492.0,1986.0,1786.0,1546.0,1627.0,1380.0,1819.0,1617.0,1962.0,2390.0,1724.0,1358.0,1706.0,1756.0,1643.0,1617.0,1077.0,1513.0,3225.0,1595.0,1425.0
13668,SERGIU,2960.0,3013.0,4813.0,3996.0,4023.0,4747.0,4813.0,4813.0,4813.0,4813.0,4813.0,4813.0,4813.0,4813.0,4813.0,4813.0,4813.0,4813.0,4813.0,4813.0,4813.0
13670,SERHAN,4813.0,4813.0,4813.0,4813.0,4813.0,4813.0,4813.0,4685.0,4813.0,4813.0,4813.0,4527.0,4813.0,2741.0,4813.0,4813.0,4813.0,4813.0,3225.0,2587.0,2501.0
13671,SERHAT,4813.0,4813.0,4813.0,4813.0,4813.0,3908.0,3895.0,4813.0,4813.0,3830.0,4678.0,4813.0,3687.0,4813.0,4813.0,3849.0,1732.0,2470.0,2005.0,1746.0,3036.0
13673,SERKAN,4813.0,4813.0,4813.0,4813.0,4813.0,3908.0,4813.0,4813.0,4805.0,4813.0,4813.0,3744.0,4432.0,4333.0,3385.0,2754.0,3009.0,1771.0,2636.0,1595.0,1241.0
13674,SETH,174.0,153.0,133.0,121.0,107.0,93.0,90.0,97.0,91.0,101.0,114.0,116.0,124.0,131.0,162.0,181.0,198.0,219.0,247.0,241.0,294.0
13679,SEVA,4608.0,3411.0,2693.0,4812.0,4813.0,4813.0,4813.0,4813.0,4813.0,4813.0,4813.0,4813.0,4432.0,4813.0,4813.0,4813.0,4813.0,4813.0,4813.0,4813.0,4813.0
13682,SEVE,4608.0,3013.0,4749.0,1923.0,2556.0,3004.0,2079.0,2403.0,3416.0,2194.0,4678.0,4813.0,4813.0,3589.0,4813.0,4813.0,4813.0,4813.0,4813.0,4813.0,4813.0
13683,SEVEN,3848.0,3411.0,3412.0,4813.0,4813.0,4813.0,4813.0,4813.0,4813.0,4813.0,4813.0,4813.0,4432.0,4333.0,3385.0,4813.0,4813.0,4813.0,4813.0,4813.0,4813.0
13688,SEWERYN,4608.0,4702.0,4813.0,4812.0,3478.0,3908.0,3362.0,1920.0,3416.0,2613.0,3332.0,2318.0,3687.0,3589.0,4052.0,4813.0,4813.0,4813.0,4813.0,4813.0,4813.0
13691,SEYED,2076.0,2488.0,3011.0,2734.0,1627.0,3004.0,2248.0,2055.0,2117.0,1909.0,2941.0,2544.0,1596.0,2741.0,1892.0,2174.0,1347.0,2189.0,2254.0,1135.0,1889.0
13694,SEYON,4608.0,3937.0,3412.0,1923.0,4023.0,4747.0,4632.0,4685.0,3987.0,2892.0,4678.0,3227.0,4432.0,4333.0,4813.0,4813.0,4813.0,4813.0,4813.0,4813.0,4813.0
13701,SHAAN,1230.0,929.0,1061.0,794.0,994.0,1121.0,1061.0,872.0,754.0,662.0,645.0,662.0,728.0,617.0,596.0,747.0,667.0,680.0,577.0,668.0,691.0
13705,SHABAN,3848.0,3937.0,4813.0,4813.0,4810.0,4813.0,4813.0,3822.0,4813.0,4647.0,4678.0,4527.0,4813.0,2435.0,4052.0,2418.0,4813.0,4813.0,2254.0,4813.0,2142.0
13706,SHABAZ,4813.0,4813.0,4813.0,4813.0,4813.0,4813.0,4813.0,4813.0,4813.0,4813.0,4678.0,4813.0,2097.0,2741.0,1744.0,2418.0,1878.0,1962.0,1651.0,1467.0,1703.0
13708,SHABBIR,3848.0,4813.0,4813.0,4813.0,4813.0,4813.0,4813.0,4813.0,4813.0,4813.0,3865.0,4813.0,4813.0,4333.0,4813.0,3208.0,4813.0,4813.0,2636.0,3134.0,4813.0
13709,SHABIR,4813.0,4813.0,4813.0,4813.0,4813.0,4813.0,4813.0,4813.0,4813.0,4647.0,4813.0,4813.0,3158.0,4813.0,4813.0,4813.0,3651.0,2857.0,4813.0,2587.0,4813.0
13711,SHAD,2404.0,3411.0,2259.0,2052.0,3478.0,2483.0,2459.0,2055.0,2458.0,2194.0,1801.0,2837.0,2097.0,3095.0,2087.0,1299.0,3651.0,2857.0,4813.0,4813.0,3036.0
13713,SHADI,4813.0,4813.0,4813.0,4812.0,4813.0,4813.0,4813.0,4813.0,3987.0,4813.0,4813.0,3744.0,4813.0,4813.0,4813.0,3208.0,3009.0,4813.0,4813.0,4813.0,3036.0
13715,SHADRACH,4813.0,4813.0,4813.0,4812.0,4813.0,4813.0,2964.0,3315.0,4813.0,2039.0,2941.0,4527.0,3158.0,4813.0,3385.0,3849.0,4813.0,3467.0,4813.0,4813.0,3036.0
13717,SHAE,1111.0,1113.0,932.0,794.0,903.0,753.0,781.0,771.0,549.0,565.0,687.0,748.0,658.0,603.0,574.0,605.0,773.0,653.0,848.0,707.0,515.0
13722,SHAFI,4813.0,4813.0,4813.0,4812.0,4813.0,4813.0,3895.0,4685.0,4813.0,4813.0,4678.0,2544.0,4432.0,4333.0,4052.0,3849.0,4813.0,1962.0,4813.0,4813.0,4813.0
13723,SHAFIN,4813.0,4813.0,4749.0,3449.0,4810.0,4813.0,4632.0,3315.0,4813.0,4647.0,4678.0,4527.0,3687.0,4813.0,4813.0,4813.0,4813.0,4813.0,4813.0,4813.0,4813.0
13724,SHAFIQ,4813.0,4813.0,4813.0,4813.0,4813.0,4813.0,4813.0,4813.0,4813.0,4813.0,4678.0,4813.0,3687.0,4333.0,4052.0,4813.0,3651.0,2857.0,1799.0,1949.0,1552.0
13727,SHAH,1314.0,1030.0,985.0,968.0,1050.0,873.0,1178.0,882.0,1021.0,743.0,811.0,944.0,712.0,711.0,617.0,502.0,523.0,546.0,468.0,473.0,515.0
13729,SHAHAAN,3848.0,4813.0,4749.0,3449.0,4810.0,4813.0,4632.0,4813.0,2458.0,4813.0,4678.0,4813.0,4813.0,4813.0,4813.0,4813.0,4813.0,4813.0,4813.0,4813.0,4813.0
13730,SHAHAB,4608.0,4813.0,4813.0,4812.0,4813.0,4813.0,3895.0,3822.0,4813.0,4813.0,4813.0,3744.0,4813.0,3095.0,2282.0,3849.0,3651.0,3467.0,4813.0,4813.0,4813.0
13733,SHAHAN,2682.0,2266.0,2259.0,4813.0,2027.0,2020.0,2459.0,3822.0,1669.0,2194.0,2199.0,3744.0,1953.0,3589.0,2282.0,3849.0,3009.0,1629.0,3225.0,1949.0,2501.0
13737,SHAHBAZ,4813.0,4813.0,4813.0,4813.0,4813.0,4813.0,4813.0,3822.0,3987.0,3300.0,3332.0,4527.0,3158.0,4813.0,2538.0,2754.0,3009.0,2189.0,2005.0,1379.0,1889.0
13739,SHAHEED,4813.0,4813.0,4813.0,4812.0,4023.0,4813.0,4813.0,3315.0,4813.0,4647.0,4678.0,3227.0,4813.0,4813.0,4813.0,3849.0,4813.0,4813.0,2636.0,4813.0,4813.0
13740,SHAHEEM,4813.0,4813.0,3011.0,3996.0,4810.0,3908.0,3362.0,3315.0,4805.0,2892.0,3865.0,2837.0,4813.0,4813.0,4813.0,4813.0,4813.0,4813.0,4813.0,4813.0,4813.0
13741,SHAHEEN,4813.0,3937.0,4813.0,4813.0,4813.0,3373.0,2459.0,3315.0,3987.0,4813.0,3865.0,2544.0,3158.0,3589.0,4052.0,4813.0,3651.0,4813.0,4813.0,4813.0,3036.0
13742,SHAHEER,2404.0,2728.0,1991.0,1923.0,1804.0,1902.0,2690.0,2403.0,1270.0,2039.0,1483.0,2318.0,1511.0,2435.0,1545.0,1991.0,2304.0,3467.0,1519.0,4813.0,1889.0
